Exclude?,FULL URI,uri,Notes,headword.en,sourceURI.headword.en,citedRange.headword.en,citationUnit.headword.en,name1.en,sourceURI.name1,citedRange.name1,citationUnit.name1,name2.syr,sourceURI.name2,citedRange.name2,citationUnit.name2,name3.grc,sourceURI.name3,citedRange.name3,citationUnit.name3,name4.en,sourceURI.name4,citedRange.name4,citationUnit.name4,abstract.en,sourceURI.abstract.en,citedRange.abstract.en,citationUnit.abstract.en,idno,idno,idno,idno,idno
,http://syriaca.org/person/5032,5032,,Lucian of Samosata,,,,Lucian,9HGARXCQ,3#1304#Lucian,vol#p#entry,,,,,,,,,,,,,"A Greek satirist and rhetorician from Samosata on the Euphrates. He described himself as a Syrian and rose from humble origins to become a prominent writer of the Second Sophistic. After training in rhetoric and traveling widely as a public speaker, he composed many satirical dialogues that mock philosophy, religion, and social pretensions with sharp wit and skepticism.",7X46I6X5,"XIII,2# 1725-1777#https://de.wikisource.org/wiki/RE:Lukianos",vol#p#URL,https://www.wikidata.org/wiki/Q177847,https://de.wikipedia.org/wiki/Lukian_von_Samosata,https://de.wikisource.org/wiki/Lukian_von_Samosata,https://d-nb.info/gnd/118575228,https://www.trismegistos.org/author/524
,http://syriaca.org/person/5033,5033,,Themistius,9HGARXCQ,3#1328#Themistius,vol#p#entry,,,,,,,,,,,,,,,,,"A pagan philosopher, rhetorician, and statesman active in Constantinople. He served emperors from Constantius II to Theodosius I and later as prefect of the city. Educated in philosophy with a strong engagement with Aristotle, he combined public oratory with philosophical thought and wrote orations and Aristotelian commentaries.",7X46I6X5,"V A,2#1642#https://de.wikisource.org/wiki/RE:Themistios_2",vol#p#URL,,https://en.wikipedia.org/wiki/Themistius,,,
,http://syriaca.org/person/4018,4018,,Gesius,9HGARXCQ,3#1276#Gesius,vol#p#entry,,,,,ܓܗܣܝܘܣ,9HGARXCQ,2#1020-1021#DCCCLXXV,vol#p#entry,Γέσιοσ,9HGARXCQ,2#1020-1021#DCCCLXXV,vol#p#entry,,,,,"A physician and teacher of medicine associated with the Gaza school of sophists in the late 5th–early 6th century CE. A student of the Jewish physician Domnos, he was initially hostile to Christianity and mocked Christian healing shrines, though he was later baptized and appears in accounts connected with the cult of Saints Cyrus and John at Menuthis.",7X46I6X5,"VII,1#1324#https://de.wikisource.org/wiki/RE:Gessios",vol#p#URL,https://www.wikidata.org/wiki/Q3124494,https://en.wikipedia.org/wiki/Gessius_of_Petra,,https://d-nb.info/gnd/1135949514,https://www.trismegistos.org/author/7880
,http://syriaca.org/person/4019,4019,,Romanus bar Rabban Bar-sauma,,,,"Romanus, the son of Rabban Bar-saumā, the chief priest of Ra'bān",9HGARXCQ,1#230-231#CCXCV,vol#p#entry,,,,,,,,,"Romanus bar Bar-ṣaumā, Rabban",9HGARXCQ,"3#1318#Romanus b. Bar-ṣaumā, r.",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4020,4020,,Ezra the Scribe,9HGARXCQ,3#1274#Ezra the Scribe,vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4021,4021,,Homer,9HGARXCQ,3#1284#Homer,vol#p#entry,,,,,ܐܘܡܝܪܘܣ or ܐܘܡܪܘܣ,9HGARXCQ,2#438-440#DLXI,vol#p#entry,,,,,,,,,Traditionally regarded as the author of the Iliad and Odyssey. His life and identity are uncertain in antiquity and reconstructed from later traditions. Ancient sources variously associated him with cities such as Smyrna and Chios and developed biographical legends about his origin and career as a poet.,7X46I6X5,"VIII,2# 2188-2247#https://de.wikisource.org/wiki/RE:Homeros_1",vol#p#URL,https://www.wikidata.org/wiki/Q6691,https://de.wikipedia.org/wiki/Homer,https://de.wikisource.org/wiki/Homer,https://d-nb.info/gnd/11855333X,https://www.trismegistos.org/author/393
,http://syriaca.org/person/4022,4022,,Philo of Alexandria,,,,Philo the Hebrew,9HGARXCQ,2#438-440#DLXI,vol#p#entry,ܦܝܠܘܢ ܥܒܪܝܐ,9HGARXCQ,2#438-440#DLXI,vol#p#entry,,,,,Philo Hebræus,9HGARXCQ,3#1314#Philo Hebræus,vol#p#entry,"A prominent representative of Hellenistic-Jewish philosophy in Alexandria who sought to interpret the Hebrew Scriptures through Greek philosophical traditions, especially Platonism and Stoicism. A member of a wealthy and influential Jewish family, he is known for his allegorical commentaries on the Pentateuch and for leading a Jewish embassy to the emperor Caligula to protest anti-Jewish measures in Alexandria.",7X46I6X5,"XX, 1# 1-50#https://de.wikisource.org/wiki/RE:Philon_41",vol#p#URL,https://www.wikidata.org/wiki/Q189597,https://de.wikipedia.org/wiki/Philon_von_Alexandria,https://de.wikisource.org/wiki/Philon,https://d-nb.info/gnd/118594001,https://www.trismegistos.org/author/675
,http://syriaca.org/person/4023,4023,,Socrates,,,,Socrates the Philosopher,9HGARXCQ,2#438-440#DLXI,vol#p#entry,ܣܘܩܪܛܝܣ ܦܝܠܣܘܦܐ,9HGARXCQ,2#438-440#DLXI,vol#p#entry,,,,,Socrates the philosopher ,9HGARXCQ,3#1326#Socrates the philosopher ,vol#p#entry,"Traditionally regarded as the founder of Attic philosophy. His life and teaching are difficult to reconstruct because of conflicting ancient traditions and later interpretations. He was remembered as the son of Sophroniscus and Phainarete, as a public opponent of injustice, and as the philosopher whose trial and execution in 399 BCE made him one of antiquity’s defining intellectual figures.",7X46I6X5,"III A,1# 811-890#https://de.wikisource.org/wiki/RE:Sokrates_5",vol#p#URL,https://www.wikidata.org/wiki/Q913,https://de.wikipedia.org/wiki/Sokrates,https://en.wikisource.org/wiki/Portal:Socrates,https://d-nb.info/gnd/118615270,https://www.trismegistos.org/author/3623
,http://syriaca.org/person/5009,5009,,Alexander of Mabbug,,,,Alexander of Mabūg,9HGARXCQ,2#976-989#DCCCLX,vol#p#entry,,,,,,,,,"Alexander, Bishop of Mabug",9HGARXCQ,"3#1242#Alexander, bp. of Mabug, and Andrew, bp. of Samosata ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4024,4024,,Andrew of Samosata,9HGARXCQ,2#976-989#DCCCLX,vol#p#entry,,,,,,,,,,,,,"Andrew, Bishop of Samosata ",9HGARXCQ,"3#1242#Alexander, bp. of Mabug, and Andrew, bp. of Samosata ",vol#p#entry,"Bishop of Samosata around 431. He is remembered as a principled defender of Antiochene Christology against the Cyrillian position, and only his letters survive.",7X46I6X5,"I,2#2135#https://de.wikisource.org/wiki/RE:Andreas_7",vol#p#URL,https://www.wikidata.org/wiki/Q501475,https://de.wikipedia.org/wiki/Andreas_von_Samosata,,https://d-nb.info/gnd/102379432,https://www.trismegistos.org/author/8210
,http://syriaca.org/person/4026,4026,,Ben Sira,,,,Jesus the son of Sirach,9HGARXCQ,1#102#CLXI,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4027,4027,,Thaumasias,9HGARXCQ,"2#748, 749#DCCLXXIV",vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4028,4028,,The Brother of John Saba,,,,The brother of John Sābā,9HGARXCQ,2#863#DCCCXXXII,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4029,4029,,Abba Pambo,,,,Abbā Pambo,9HGARXCQ,3#1123#DCCCCLIX,vol#p#entry,,,,,,,,,,,,,"An Egyptian monk of the Nitrian Desert, remembered in monastic tradition as a disciple of Antony. He was a noted ascetic of early Egyptian monasticism and was visited by Melania the Elder.",7X46I6X5,"XVIII,3# 287-288#https://de.wikisource.org/wiki/RE:Pambo",vol#p#URL,,https://en.wikipedia.org/wiki/Pambo,,,
,http://syriaca.org/person/4031,4031,,Pontius Pilate,,,,Pilate,9HGARXCQ,3#1280#Herod and Pilate ; letters of ,vol#p#entry,,,,,,,,,,,,,"Roman procurator of Judea from 26–36 CE and best known in Christian tradition as the official who presided over the trial of Jesus. In the New Testament he appears primarily in the passion narratives, with additional references in Luke, Acts, and 1 Timothy, reflecting his enduring role in early Christian memory of Jesus’s death.",7X46I6X5,"XX, 2# 1322-1323#https://de.wikisource.org/wiki/RE:Pilatus",vol#p#URL,https://www.wikidata.org/wiki/Q17131,https://de.wikipedia.org/wiki/Pontius_Pilatus,https://en.wikisource.org/wiki/Author:Pontius_Pilate,https://d-nb.info/gnd/118792172,
,http://syriaca.org/person/4032,4032,,"Simeon, the Son of ܪܓܝܘ",,,,"Simeon, the son of ܪܓܝܘ",9HGARXCQ,1#21#34,vol#p#entry,Simeon the son of ܪܓܝܘ,9HGARXCQ,1#21#34,vol#p#entry,,,,,Simeon bar ܪܓܝܘ,9HGARXCQ,"3#1326#Simeon b. ܪܓܝܘ, r. ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4033,4033,,Isocrates,9HGARXCQ,3#1291#Isocrates,vol#p#entry,,,,,,,,,,,,,,,,,"An Athenian orator, teacher, and prose stylist whose rhetorical vision helped shape classical Greek education and civic discourse; his surviving works include political speeches, educational essays, and letters. Trained among the leading intellectual circles of his age, he founded an influential school of rhetoric and became one of antiquity’s central theorists of paideia and public speech.",7X46I6X5,"IX,2#2146#https://de.wikisource.org/wiki/RE:Isokrates_2",vol#p#URL,https://www.wikidata.org/wiki/Q221182,https://de.wikipedia.org/wiki/Isokrates,https://de.wikisource.org/wiki/Isokrates,https://d-nb.info/gnd/118556010,https://www.trismegistos.org/author/448
,http://syriaca.org/person/634,634,,Menander,9HGARXCQ,3#1309#Menander,vol#p#entry,Menander the Sage,9HGARXCQ,2#745-746#DCCLXXIII,vol#p#entry,,,,,,,,,,,,,"Menander was an Athenian comic poet of the New Comedy, probably born in 343/2 BCE and educated in the circle of Theophrastus. Ancient biographical tradition presents him as highly gifted and prolific, though only modestly successful in dramatic competitions during his lifetime. After his death, his reputation rose greatly, and later scholars treated him as a major literary authority.",7X46I6X5,"XV,1#707#https://de.wikisource.org/wiki/RE:Menandros_9",vol#p#URL,https://www.wikidata.org/wiki/Q118992,https://de.wikipedia.org/wiki/Menander,https://de.wikisource.org/wiki/Menander,https://d-nb.info/gnd/118747525,https://www.trismegistos.org/author/571
,http://syriaca.org/person/4034,4034,,Manṣur,,,,Manṣūr,9HGARXCQ,1#390#DX,vol#p#entry,,,,,,,,,"Manṣūr, poss. ",9HGARXCQ,"3#1305#Manṣūr, poss. ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4035,4035,,John the Syrian,,,,Yuḥannā the Syrian,9HGARXCQ,2#628-630#DCCXXV,vol#p#entry,,,,,,,,,"Yuḥannā the Syrian, Bishop ",9HGARXCQ,"3#1334#Yuḥannā the Syrian, bp. ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4036,4036,,Yuḥannā ibn Manṣūr al-Ḥimṣī,9HGARXCQ,2#628-630#DCCXXV,vol#p#entry,,,,,,,,,,,,,Yuḥannā (John) ibn Manṣūr al-Ḥimṣī,9HGARXCQ,3#1334#Yuḥannā (John) ibn Manṣūr al-Ḥimṣī,vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4037,4037,,"Narcissus, Bishop of ܩܢܛܘܣ  in Asia",9HGARXCQ,"3#1310#Narcissus, bp. of ܩܢܛܘܣin Asia",vol#p#entry,"Narcissus, bishop of ܩܢܛܘܣ  in Asia",9HGARXCQ,3#1042#DCCCCXVII,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4039,4039,,Monks of the Westerns Covents,9HGARXCQ,2#691#DCCLI,vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4042,4042,,"Shalita, Disciple of Eugenius",,,,Shalīṭā,9HGARXCQ,3#1064-1069#DCCCCXXII,vol#p#entry,,,,,,,,,"Shalīṭā, disciple of Eugenius",9HGARXCQ,"3#1324#Shalīṭā, disciple of Eugenius",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/5006,5006,,Erechtheus of Antioch,,,,"Erechtheus, bishop of Antioch in Pisidia",9HGARXCQ,2#827-828#DCCCXIV,vol#p#entry,ܐܪܐܟܬܝܘܣ,9HGARXCQ,2#827-828#DCCCXIV,vol#p#entry,,,,,"Erechtheus, Bishop of Antioch in Pisidia ",9HGARXCQ,"3#1272#Erechtheus, bp. of Antioch in Pisidia ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4047,4047,,Euclid,9HGARXCQ,2#548-549#DCLXXXVII. B,vol#p#entry,,,,,,,,,,,,,,,3#1273,vol#p,"An Alexandrian mathematician of the early Hellenistic period, probably active under Ptolemy I. He was a leading representative of a mathematical school in Alexandria, best known for the Elements, the foundational synthesis of ancient geometry, which organized earlier Greek mathematics into a systematic work that remained the standard textbook for centuries.",7X46I6X5,"VI,1# 1003-1052#https://de.wikisource.org/wiki/RE:Eukleides_7",vol#p#URL,https://www.wikidata.org/wiki/Q8747,https://de.wikipedia.org/wiki/Euklid,https://de.wikisource.org/wiki/Euklid,https://d-nb.info/gnd/118638955,https://www.trismegistos.org/author/293
,http://syriaca.org/person/4048,4048,,Yazdin,,,,Yazdīn,9HGARXCQ,3#1333#Yazdīn,vol#p#entry,ܝܙܕܝܢ,9HGARXCQ,1#134-136#CXCI,vol#p#entry,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4049,4049,,Pythagoras,9HGARXCQ,3#1317#Pythagoras,vol#p#entry,,,,,,,,,,,,,,,,,"An Ionian Greek philosopher and polymath from Samos and founder of Pythagoreanism. He was associated with a community that combined religious teaching, communal and ascetic life, , and belief in immortality and transmigration. The tradition surrounding him generated a wide body of sacred books, hypomnemata, and later pseudepigraphic writings.",7X46I6X5,XXIV# 268-277#https://de.wikisource.org/wiki/RE:Pythagoras_1,vol#p#URL,https://www.wikidata.org/wiki/Q10261,https://de.wikipedia.org/wiki/Pythagoras,https://de.wikisource.org/wiki/Pythagoras,https://d-nb.info/gnd/118597248,https://www.trismegistos.org/author/803
,http://syriaca.org/person/614,614,,Mara bar Serapion,,,,Mārā bar Serapion,9HGARXCQ,3#1305#Mārā b. Serapion,vol#p#entry,ܡܪܐ ܒܪ ܣܪܦܝܘܢ,9HGARXCQ,3#1154-1160#DCCCCLXXXVII,vol#p#entry,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/5022,5022,,Plato,9HGARXCQ,3#1316#Plato,vol#p#entry,,,,,,,,,,,,,,,,,"An Athenian philosopher, born in the late fifth century BCE, and a devoted follower of Socrates. He founded the Academy, the school from which Platonism took its name. Ancient tradition presented him as a supremely wise and divinely favored teacher, and through biographies, dialogues, letters, and the school that continued after him, he became the central figure of the Platonic tradition.",7X46I6X5,"XX,2#2342#https://de.wikisource.org/wiki/RE:Platon_1",vol#p#URL,,https://en.wikipedia.org/wiki/Plato,,,
,http://syriaca.org/person/4050,4050,,Laurentius,9HGARXCQ,"3#1302#Laurentius, Bassus and Probianus",vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4051,4051,,Probianus,9HGARXCQ,"3#1302#Laurentius, Bassus and Probianus",vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4052,4052,,Gelasius of Caesarea,9HGARXCQ,3#1275#Gelasius of Caesarea,vol#p#entry,Gelasius of Caesarea in Palestine,9HGARXCQ,2#550-554#DCLXXXVIII,vol#p#entry,,,,,,,,,,,,,"A bishop of Caesarea in Palestine around 390, probably a nephew of Cyril of Jerusalem, and was regarded as a learned and rhetorically polished theologian in the tradition of mediating Nicene orthodoxy. He wrote against the Anomoeans and was also associated with the Greek transmission of Rufinus’ church history, though the exact extent of his authorship remains uncertain.",7X46I6X5,"VII,1# 964-965#https://de.wikisource.org/wiki/RE:Gelasius_1",vol#p#URL,https://www.wikidata.org/wiki/Q2735853,https://en.wikipedia.org/wiki/Gelasius_of_Caesarea,,https://d-nb.info/gnd/118690302,https://www.trismegistos.org/author/2374
,http://syriaca.org/person/4053,4053,,Antiochus of Ptolemais,9HGARXCQ,3#1245#Antiochus of Ptolemais,vol#p#entry,,,,,,,,,,,,,,,,,"Bishop of Ptolemais in Palestine around 400 CE. He was renowned as an orator and for a time enjoyed great acclaim in Constantinople, where he became one of Chrysostom’s fiercest opponents. He wrote homilies as well as a large work against avarice.",7X46I6X5,"I,2#2492#https://de.wikisource.org/wiki/RE:Antiochos_58",vol#p#URL,https://www.wikidata.org/wiki/Q772370,https://en.wikipedia.org/wiki/Antiochus_(bishop_of_Ptolemais),,https://d-nb.info/gnd/102379971,https://www.trismegistos.org/author/1590
follow up,http://syriaca.org/person/4055,4055,"Needs better abstract, see https://gedsh.bethmardutho.org/Beth-Abe-Monastery-of",Jacob of Beth ʿAbe,,,,Jacob of Beth-ʿAbē,9HGARXCQ,1#129-131#CLXXXVI,vol#p#entry,,,,,,,,,Jacob of Bēth-ʿĀbē,9HGARXCQ,3#1294#Jacob of Bēth-ʿĀbē,vol#p#entry,,,,,,,,,
,http://syriaca.org/person/5028,5028,,Diocles of Peparethus,,,,Diocles,9HGARXCQ,2#497-499#DCXXVI,vol#p#entry,ܕܝܩܠܝܘܣ,9HGARXCQ,2#497-499#DCXXVI,vol#p#entry,,,,,Dioclês (Peparêthius),9HGARXCQ,3#1268#Dioclês (Peparêthius),vol#p#entry,"A Greek historian associated in later tradition with an early Greek version of Rome’s foundation legend, especially the story of Romulus and Remus. Although later antiquarian sources treat him as an important authority for the received narrative, his precise role remains uncertain, and the surviving excerpt attributed to him ends with the fall of Amulius rather than the founding of Rome.",7X46I6X5,"V,1# 797-798#https://de.wikisource.org/wiki/RE:Diokles_47",vol#p#URL,https://www.wikidata.org/wiki/Q301785,https://de.wikipedia.org/wiki/Diokles_von_Peparethos,https://it.wikisource.org/wiki/Autore:Diocle_di_Pepareto,https://d-nb.info/gnd/102390649,https://www.trismegistos.org/author/4395
,http://syriaca.org/person/4056,4056,,John II of Jerusalem,,,,John of Jerusalem,9HGARXCQ,3#1296#John of Jerusalem,vol#p#entry,,,,,,,,,,,,,"A Bishop of Jerusalem from 386 to 417, successor of Cyril, and was known as an eloquent preacher, learned theologian, and supporter of monasticism. He became prominent through his involvement in the Origenist and Pelagian controversies, yet remained respected as an orthodox authority.",7X46I6X5,"IX,2# 1804-1805#https://de.wikisource.org/wiki/RE:Ioannes_42",vol#p#URL,https://www.wikidata.org/wiki/Q177178,https://de.wikipedia.org/wiki/Johannes_II._(Jerusalem),,https://d-nb.info/gnd/100949738,https://www.trismegistos.org/author/8237
,http://syriaca.org/person/4057,4057,,John,,,,Yuhannā,9HGARXCQ,2#1023#DCCCLXXX,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4058,4058,,Simplicius of Rome,9HGARXCQ,3#1326#Simplicius of Rome,vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4059,4059,,Vitalius of Rome,,,,"Vitalius, bishop of Rome",9HGARXCQ,"3#1332#Vitalius, bishop of Rome",vol#p#entry,ܐܘܝܛܐܠܝܘܣ,9HGARXCQ,2#639-648#DCCXXIX,vol#p#entry,Οὐιτάλιος,9HGARXCQ,2#639-648#DCCXXIX,vol#p#entry,,,,,,,,,,,,,
,http://syriaca.org/person/4061,4061,,Theodore the Monk,,,,Theodore the monk,9HGARXCQ,3#1329#Theodore the monk,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4062,4062,,"Sergius, Abbot of the Convent of the Arabs",,,,"Sergius, abbat of the convent of the Arabs",9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,,,,,"Sergius, Abbat of the Convent of the Arabs",9HGARXCQ,"3#1231#Sergius, ab. of the c. of the Arabs",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4064,4064,,Theodore,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,,,,,,,,,"Theodore, m. of Antioch ",9HGARXCQ,"3#1329#Theodore, m. of Antioch ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4065,4065,,Alexander of Aphrodesias,,,,Alexander Aphrodisiensis,9HGARXCQ,3#1242#Alexander Aphrodisiensis,vol#p#entry,,,,,,,,,,,,,"A Peripatetic philosopher of the late second and early third century CE, active at Athens and famed as a learned and judicious interpreter of Aristotle. His careful commentaries and treatises became a major source for later Aristotelian tradition.",7X46I6X5,"I,2#1453-1455#https://de.wikisource.org/wiki/RE:Alexandros_94",vol#p#URL,https://www.wikidata.org/wiki/Q317146,https://de.wikipedia.org/wiki/Alexander_von_Aphrodisias,https://fr.wikisource.org/wiki/Auteur:Alexandre_d%E2%80%99Aphrodise,https://d-nb.info/gnd/118501887,https://www.trismegistos.org/author/1461
,http://syriaca.org/person/4066,4066,,Antonine of Aleppo,,,,Antonine,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,ܐܢܛܘܢܝܢܐ̇,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,"Antonine, Bishop of Aleppo",9HGARXCQ,"3#1245#Antonine, bp. of Aleppo",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4067,4067,,Thomas of Dara,,,,Thomas,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,ܬܐܘܡܐ̇,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,"Thomas, Bishop of Dārā",9HGARXCQ,"3#1331#Thomas, bp. of Dārā",vol#p#entry,"Second bishop of Dara-Anastasiopolis, formerly oikonomos of the church of Amida. He was expelled under Emperor Justin I as a miaphysite.",7X46I6X5,"VI A,1 #327",vol#p,,,,,
follow up,http://syriaca.org/person/4068,4068,May be of Kalenderis,Pelagius,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,ܦܝܠܓ,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,"Pelagius, Bishop",9HGARXCQ,"3#1313#Pelagius, bp.",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4069,4069,,Eustathius of Perrhe,,,,Eustathius,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,ܐܘܣܛܬ̇,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,"Eustathius, Bishop of Perrhe ",9HGARXCQ,"3#1273#Eustathius, bp. of Perrhe ",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4070,4070,,Elias,9HGARXCQ,2#921-955#DCCCLVII,vol#p#entry,,,,,,,,,,,,,"Elias, a convert from Tritheism to Monophysite doctrines",9HGARXCQ,"3#1270#Elias, a convert from Tritheism to Monophysite doctrines",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4071,4071,,Paul bar Arab,9HGARXCQ,3#1313#Paul b. Arab,vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
