New URI	Syriaca Matched URI	uri	relation1.possiblyIdentical	headword.en	state.en	anonymousDesc.en	headword.syr	sourceURI.headword.syr	citedRange.headword.syr	citationUnit.headword.syr	name1.syr	sourceURI.name1	citedRange.name1	citationUnit.name1	anonymousDesc.syr	sourceURI.anonymousDesc.syr	citedRange.anonymousDesc.syr	citationUnit.anonymousDesc.syr	gender1	sourceURI.gender1	citedRange.gender1	abstract.en	sourceURI.abstract.en	citedRange.abstract.en	date1	type.date1	notBefore.date1	notAfter.date1	sourceURI.date1	citedRange.date1	date2	type.date2	notBefore.date2	notAfter.date2	sourceURI.date2	citedRange.date2	name2.en	sourceURI.name2	citedRange.name2	citationUnit.name2	DNU	idno	idno
5047		5047		Andreas (presbyter)			ܐܢܕܪܐܘܣ	9KL93RUC	71#3.2.10	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	71	A miaphysite presbyter who, according to Joh. Eph., EH 2.10, offered the miaphysite eucharist to Sophia and allegedly also to her husband Justin, the future emperor, until Sophia turned to the Chalcedonian communion in 562.	9KL93RUC	71								death	0562-12-31		9KL93RUC	71						http://syriaca.org/johnofephesus/persons/5047	
5048		5048		Andreas (presbyter)			ܐܢܕܪܐܘܣ	9KL93RUC	52; 76#3.2.14	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	52; 76	Joh. Eph., EH 2.14, relates the story of the miaphysite presbyter Andreas who became a victim of the persecution of the early 570s. Imprisoned three times, he always managed to escape. He is potentially identical with the presbyter Andreas who offered the miaphysite eucharist to Sophia.	9KL93RUC	76	early 570s	floruit			9KL93RUC	76		death	0571-12-31		9KL93RUC	76						http://syriaca.org/johnofephesus/persons/5048	
5049		5049		Andreas (cubicularius and sacellarius)			ܐܢܕܪܐܘܣ ܩܘܒܩܠܪܐ ܘܣܩܠܪܐ	9KL93RUC	52; 53; 67; 103#3.2.9; 3.2.38	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	52; 53; 67; 103	Holding important positions at the court of the empress Sophia, Andreas, a convinced miaphysite, fell victim to the persecutions of the early 570. Joh. Eph., EH 2.9 and 2.38, recounts that Andreas was expelled from court and imprisoned in the monastery of Dalmatus.	7K28WD3W	76-77	570-574	floruit			7K28WD3W	76-77		death	0574-12-31		7K28WD3W	76-77	Andreas	7K28WD3W	Andreas 8#76-77	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5049	
5050		5050		Andronicus			ܐܢܕܪܘܢܝܩܘܣ	9KL93RUC	192#3.4.11	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	3.4.11	Parts of the Alexandrian clergy were enraged when they heard about the ordination of Theodore as patriarch in 575 and decided to elect someone else. Their first candidate was Andronicus, an cleric only known from Joh. Eph., EH 4.11, but it soon turned out that he would not be accepted by the population. Hence, they decided to make Peter patriarch.	9KL93RUC	192	575	floruit			9KL93RUC	192												http://syriaca.org/johnofephesus/persons/5050	
	1592	1592		Anthimus			ܐܢܬܝܡܘܣ	9KL93RUC	51#3.1.42	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	51	Anthimus was bishop of Trebizond in north-eastern Asia Minor when Justinian chose him as new patriarch of Constantinople. Probably on imperial orders, Anthimus approached the leading miaphysites of his day, Severus of Antioch and Theodosius of Alexandria. Because of this, opponents started claiming that he had condemned Chalcedon and entered into communion with Severus. Resistance to him grew in Constantinople and his position became untenable when the staunchly Chalcedonian Roman bishop Agapetus visited the capital in March 536. He stepped down as bishop and, together with many other miaphysites, enjoyed the protection of the empress Theodora until her death in 548.	5NKETXXN	I, 733	535-536	floruit	0535-06-05	0536-03-13	5NKETXXN	I, 733		death	0548-06-28		5NKETXXN	I, 733	Anthimus Trapezuntinus	JLMCGNS9	7085-7088#III, 345-347	entry#p	CPG	http://syriaca.org/johnofephesus/persons/1592	https://en.wikipedia.org/wiki/Anthimus_I_of_Constantinople
5051		5051		Antipatra			ܐܢܛܝܦܛܪܐ	9KL93RUC	73; 74#3.2.12	p#chapter									http://syriaca.org/keyword/female	9KL93RUC	73; 74	Antipatra was a high-ranking lady and mother-in-law of the honorary consul John. A victim of the miaphysite persecution, she was forced to perform menial tasks in a monastery until she pretended to accept the Chalcedonian communion, as is narrated in Joh. Eph., EH 2.12.	7K28WD3W	91	571-574	floruit			7K28WD3W	91		death	0574-12-31		7K28WD3W	91	Antipatra	7K28WD3W	Antipatra#91	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5051	
5052		5052		Antonina			ܐܢܛܘܢܝܢܐ	9KL93RUC	42#3.1.32	p#chapter									http://syriaca.org/keyword/female	9KL93RUC	42	A former actress, Antonina rose to the rank of patricia due to her marriage with Belisarius and her close connection with the empress Theodora. Due to her past, she was a controversial figure and depicted very negatively in Procopius' Secret History.	7K28WD3W	91-93	mid-6th century	floruit			7K28WD3W	91-93		death	0549-12-31		7K28WD3W	91-93	Antonina	7K28WD3W	Antonina 1#91-93	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5052	https://en.wikipedia.org/wiki/Antonina_(wife_of_Belisarius)
5053		5053		Antoninus			ܐܢܛܘܢܝܢܐ	9KL93RUC	193#3.4.11	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	193	Joh. Eph., EH 4.11 records that two Syrian bishops called Antoninus participated, together with John of Cellia, in the creation of Peter as patriarch of Alexandria in 575. They themselves had been ordained by Jacob at one point after 566, and it is unknown of which cities they were bishops.	MBTEGB67	238	570s	floruit			MBTEGB67	238												http://syriaca.org/johnofephesus/persons/5053	
5054		5054		Antoninus			ܐܢܛܘܢܝܢܐ	9KL93RUC	193#3.4.11	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	193	Joh. Eph., EH 4.11 records that two Syrian bishops called Antoninus participated, together with John of Cellia, in the creation of Peter as patriarch of Alexandria in 575. They themselves had been ordained by Jacob at one point after 566, and it is unknown of which cities they were bishops.	MBTEGB67	238	570s	floruit			MBTEGB67	238												http://syriaca.org/johnofephesus/persons/5054	
5055		5055		Appianus			ܐܦܝܢܐ	9KL93RUC	50#3.1.41	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	50	Appianus lived in Amida in Roman Mesopotamia and was the father of Ephrem, patriarch of Antioch from 527 to 545.	6RXKPRGP	123	c.460-520	floruit			6RXKPRGP	123							Appianus	6RXKPRGP	Appianus#123	entry#p	PLRE 2	http://syriaca.org/johnofephesus/persons/5055	
5056		5056		Arabia											ܒܪܬܗ̇	9KL93RUC	132#3.3.7	p#chapter	http://syriaca.org/keyword/female	9KL93RUC	132	The daughter and only child of Justin II and Sophia is the only person known who bore the name Arabia. Joh. Eph., EH 3.7 records rumours according to which Sophia harboured hopes that Tiberius might be ready to divorce his wife Ino and marry Arabia instead.	7K28WD3W	102	mid-6th century	floruit			7K28WD3W	102		death	0578-12-31		7K28WD3W	102	Arabia	7K28WD3W	Arabia#102	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5056	https://en.wikipedia.org/wiki/Arabia_(daughter_of_Justin_II)
5057		5057		Archelaus			ܐܪܟܐܠܐܘܢ	9KL93RUC	278#3.6.2	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	278	Archelaus was the father of Acacius who, in 573, was sent by Justin to the troops in the east to dismiss the general Marcian from his command, according to Joh. Eph., EH 6.2.	7K28WD3W	105	mid-6th century	floruit			7K28WD3W	105							Archelaus	7K28WD3W	Archelaus 1#105	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5057	
	2486	2486		Arius			ܐܪܝܘܣ	9KL93RUC	153#3.3.26	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	153	Arius was a priest in Alexandria in the early fourth century and a famous propagator of the doctrine that Christ was not equal to God the Father, but subordinated to him, hence this doctrine is called Arianism. He and his teachings were condemned at the council of Nicaea in 325, yet some of his ideas remained influential especially in the east of the Roman Empire and among Germanic tribes converted to Christianity in the fourth century.	N42AM4Q2	133-134	c.320-336	floruit			N42AM4Q2	133-134		death		0336-12-31	N42AM4Q2	133-134	Arius	JLMCGNS9	2025-2028#II, 5-6	entry#p	CPG	http://syriaca.org/johnofephesus/persons/2486	https://en.wikipedia.org/wiki/Arius
5058		5058		Athanasius			ܐܬܢܣܝܘܣ	9KL93RUC	101; 117; 253; 258#3.2.36; 3.2.51; 3.5.1; 3.5.7	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	101; 117; 253; 258	Athanasius was a grandson of the empress Theodora. A follower of the influential miaphysite theologian John Philoponus, Athanasius was a tritheist and belonged to that part of the sect which taught that new bodies would be created for mankind at the last judgement, as is attested in Joh. Eph., EH 5.1.	7K28WD3W	147	late 560s	floruit			7K28WD3W	147		death	0574-12-31		7K28WD3W	147	Athanasius	7K28WD3W	Athanasius 5#147	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5058	https://en.wikipedia.org/wiki/Athanasius_(grandson_of_Theodora)
5059		5059		Aulus (general)			ܐܘܠܐ	9KL93RUC	339#3.6.36	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	339	Joh. Eph., EH 6.36, reports the activities of the Roman general Aulus in Armenia in 583. After a lengthy siege, he managed to take the Persian fortress of Akbas close to Martyropolis.	7K28WD3W	155	583	floruit			7K28WD3W	155							Aulus	7K28WD3W	Aulus#155	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5059	
5060		5060		Bayan											ܡܠܟܐ ܕܝܠܢ	9KL93RUC	325#3.6.24	p#chapter	http://syriaca.org/keyword/male	9KL93RUC	325	Bayan was ruler of the Avars when they sent an embassy to Constantinople for the first time in 561. Various sources, for instance Joh. Eph., EH 6.24, report that they became accustomed to receiving subsidies from the Roman Empire. Justin's unwillingness to meet Bayan's demands eventually led to war in the late 560s.	7K28WD3W	167-169	c.561-c.582	floruit			7K28WD3W	167-169							Baianus	7K28WD3W	Baianus#167-169	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5060	https://en.wikipedia.org/wiki/Bayan_I
5061		5061		Belisarius			ܒܠܣܪܝܣ	9KL93RUC	42#3.1.31	p#chapter	ܒܝܠܝܣܪܝܣ	9KL93RUC	42#3.1.32	p#chapter					http://syriaca.org/keyword/male	9KL93RUC	42	Arguably the most important general of Justinian, Belisarius played a crucial role in the wars against Persia, the Vandals, and the Ostrogoths before defending Constantinople against the Kutrigurs in 559. In late 562, he was accused of plotting against Justinian, yet rehabilitated soon afterwards. He died in 565.	7K28WD3W	181-224	527-565	floruit			7K28WD3W	181-224		death	0565-03-01	0565-03-31	7K28WD3W	181-224	Belisarius	7K28WD3W	Fl. Belisarius 1#181-224	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5061	https://en.wikipedia.org/wiki/Belisarius
5062		5062		Benedict I (pope)											ܦܦܐ ܕܪܗܘܡܐ	9KL93RUC	99#3.2.32	p#chapter	http://syriaca.org/keyword/male	9KL93RUC	99	Benedict, called Bonosus in the Greek sources, was bishop of Rome from 575 to 579. Not much is known from his pontificate, but the Lombard conquests in Italy rendered the communication with the emperor in Constantinople increasingly difficult.	5NGBBQSB	291	575-579	floruit	0575-06-02		5NGBBQSB	291	0579-07-30	death			5NGBBQSB	291	Benedictus	5NGBBQSB	Benedictus 6#291	entry#p	Pros. Chret. Italie	http://syriaca.org/johnofephesus/persons/5062	https://en.wikipedia.org/wiki/Pope_Benedict_I
5063		5063		Benjamin			ܒܢܝܡܝܢ	9KL93RUC	315#3.6.19	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	315	Joh. Eph., EH 6.19, records that the Roman prisoners held in Antioch-of-Khusrow in Mesopotamia hoped to escape and to return to the Roman Empire. They managed to send two monks, Benjamin and his disciple Samuel, through the Persian lines to Constantinople to raise awareness for their situation, yet Tiberius neglected the matter.	9KL93RUC	315	late 570s	floruit			9KL93RUC	315												http://syriaca.org/johnofephesus/persons/5063	
5064		5064		Callinicus			ܩܠܝܢܝܩܐ	9KL93RUC	107#3.2.41	p#chapter									http://syriaca.org/keyword/eunuchs	9KL93RUC	107	Callinicus was a eunuch who rose to the rank of praepositus sacri cubiculi, one of the most senior palace officers responsible for Justinian's private quarters. Callinicus was present when Justinian died in November 565 and helped Justin II secure the throne. He probably died before the start of the miaphysite persecution in 571 since Joh. Eph., EH 2.41, reports that Callinicus had presented him with a villa which John then turned into a monastery.	7K28WD3W	260-261	560s	floruit		0571-01-01	7K28WD3W	260-261		death	0566-01-01	0571-01-01	7K28WD3W	260-261	Callinicus	7K28WD3W	Callinicus 2#260-261	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5064	
5065		5065		Callistratus (praetorian prefect)			ܩܐܠܝܣܛܪܘܣ	9KL93RUC	336#3.6.32	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	336	Joh. Eph., EH 6.32, introduces Callistratus as pretorian prefect who was sent by Tiberius to Sirmium in 581/2 to surrender the city to the Avars after a siege of about two years.	7K28WD3W	266	581/582	floruit			7K28WD3W	266							Callistratus	7K28WD3W	Callistratus#266	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5065	
5066		5066		Charito											ܬܪ̈ܬܝܢ ܒ̈ܢܬܗ̇	9KL93RUC	132; 134; 150#3.3.7; 3.3.9; 3.3.23	p#chapter	http://syriaca.org/keyword/female	9KL93RUC	132; 134; 150	Tiberius and Ino Anastasia had three children, but only Charito and and her sister Constantina survived into adulthood and were married off to the Caesars Germanus and Maurice shortly before Tiberius died in August 582. John never calls Charito by name in his Ecclesiastical History, but instead refers to the 'two daughters' of Tiberius and Ino.	7K28WD3W	285	late 6th century	floruit			7K28WD3W	285							Charito	7K28WD3W	Charito#285	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5066	
5067		5067		Cihor-Wsnasp											ܡܪܙܒܢܐ	9KL93RUC	81; 82; 83; 84; 87#3.2.20; 3.2.24	p#chapter	http://syriaca.org/keyword/male	9KL93RUC	81; 82; 83; 84; 87	Joh. Eph., EH 2.20, narrates that the Persian king Khosrow sent one of his generals to Armenia in order to erect fire temples and to suppress the rebellion of the Armenian Christians. This was Cihor-Wsnasp, called Surena in the Greek sources because he belonged to the family of the Suren. He was killed by the rebellious Armenians in 572.	7K28WD3W	1208	early 570s	floruit			7K28WD3W	1208							Surena	7K28WD3W	Surena#1208	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5067	
5068		5068		Comitas			ܩܘܡܝܛܐ	9KL93RUC	78#3.2.16	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	78	Originally a member of the clergy belonging to the church of Mary of Blachernai, Comitas was forced to leave because of his miaphysite convictions. Adopting a monastic lifestyle, he founded a hospice for serving the poor. Joh. Eph., EH 2.16, relates that his hospice was closed during the miaphysite persecution in the early 570s and Comitas himself banished to an island.	9KL93RUC	78	early 570s	floruit			9KL93RUC	78		death	0571-12-31		9KL93RUC	78						http://syriaca.org/johnofephesus/persons/5068	
5069		5069		Comitas			ܩܘܡܝܛܐ	9KL93RUC	288; 291#3.6.5	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	288; 291	Joh. Eph., EH 6.5, introduces Comitas as an interpreter between the Romans and Persians during the siege of Dara in 573. He negotiated with Khosrow on behalf of the Romans, yet he thought that the city was impregnable. For this Khosrow had him blinded after the fall of Dara.	7K28WD3W	327	573	floruit			7K28WD3W	327		death	0573-12-31		7K28WD3W	327	Comitas	7K28WD3W	Comitas 6#327	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5069	
5070		5070	1336	Conon (bishop of Tarsus)			ܩܢܘܢ	9KL93RUC	41; 42; 252; 253; 254; 255; 257; 258; 261#3.1.31; 3.5.1; 3.5.2; 3.5.3; 3.5.4; 3.5.6; 3.5.7; 3.5.11	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	41; 42; 252; 253; 254; 255; 257; 258; 261	Conon was miaphysite bishop of Tarsus and a leader of the tritheist movement in the late 560s and early 570s. When the tritheist champion John Philoponus wrote a treatise in which he postulated the creation of new impalpable bodies at the resurrection, Conon disagreed with him, thus causing a schism among the tritheists. Joh. Eph., EH 1.31, relates that Conon suffered from the persecutions in the 570s and was imprisoned in a monastery in Jerusalem.	MBTEGB67	179-187		floruit	0553-01-01		MBTEGB67	179-187		death	0575-12-31		MBTEGB67	179-187						http://syriaca.org/johnofephesus/persons/5070	
5071		5071		Constantina			ܩܘܣܛܢܛܝܢܐ	9KL93RUC	263#3.5.13	p#chapter									http://syriaca.org/keyword/female	9KL93RUC	263	Constantina was the younger daughter of the emperor Tiberius. When Tiberius fell ill in August 582, he gave her in marriage to the general Maurice, whom he also elevated to the rank of Caesar. Maurice and Constantina had nine children. The whole imperial family was killed during the reign of Phocas.	7K28WD3W	337-339	582-602	floruit	0582-08-05		7K28WD3W	337-339		death	0605-01-01	0607-12-31	7K28WD3W	337-339	Constantina	7K28WD3W	Constantina 1#337-339	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5071	https://en.wikipedia.org/wiki/Constantina_(empress)
5242		5242		Constantine			ܩܘܣܛܢܛܝܢܘܣ	9KL93RUC	129; 140; 264#3.3.5; 3.3.14; 3.5.14	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	129; 140; 264	Arguably the most famous emperor of Late Antiquity, Constantine was the first emperor to embrace Christianity after his victory in battle in 312. He re-united the Roman Empire, thus bringing to an end the period of the Tetrarchy, and convened the first ecumenical council in Nicaea in 325.	N42AM4Q2	383-387	306-337	floruit			N42AM4Q2	383-387		death		0337-05-22	N42AM4Q2	383-387	Constantinus	HJ85NAV2	Constantinus 4#223-224	entry#p	PLRE 1	http://syriaca.org/johnofephesus/persons/5242	https://en.wikipedia.org/wiki/Constantine_the_Great
5072		5072		Constantinus			ܩܘܣܛܢܛܝܢܣ	9KL93RUC	329#3.6.26	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	329	A Roman officer who, in 582, killed the Persian marzban Tamkhosrow in battle when the latter was besieging the city of Tella in Roman Mesopotamia. Joh. Eph., EH 6.26, reports that Constantinus was also killed in the fight.	9KL93RUC	329	582	floruit			9KL93RUC	329		death	0582-06-01	0582-06-30	9KL93RUC	329						http://syriaca.org/johnofephesus/persons/5072	
5073		5073		Cours			ܩܘܪܝܣ	9KL93RUC	276; 332; 333#3.6.28	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	276; 332; 333	The sources call Cours a man of 'scythic' origin. He was commander of the Roman troops in Armenia from 574 to 582 and defeated the Persians in battle in 579 together with John Mystacon, as reported in Joh. Eph., EH 6.28.	7K28WD3W	360-361	574-582	floruit			7K28WD3W	360-361		death	0582-12-31		7K28WD3W	360-361	Cours	7K28WD3W	Cours#360-361	entry#p	PLRE 3	http://syriaca.org/johnofephesus/persons/5073	https://en.wikipedia.org/wiki/Cours_(Byzantine_general)
	430	430		Cyril of Alexandria			ܩܘܪܝܠܘܣ	9KL93RUC	19#3.1.17	p#chapter									http://syriaca.org/keyword/male	9KL93RUC	19	Cyril, patriarch of Alexandria from 412 to 444, was one of the most powerful bishops of this time. An influential theologian, he clashed with Nestorius of Constantinople on the question of whether Mary could be addressed as Theotokos (bearer of God). Cyril ensured that Nestorius and his dyophysite Christology were condemned at the council of Ephesus in 431. In the sixth century, he was seen as a champion of orthodoxy by both miaphysites and Chalcedonians. The emperor Justinian, in his theological writings, sought to ensure that the decisions of the contentious council of Chalcedon were interpreted in line with Cyrillian Christology.	N42AM4Q2	444-445	412-444	floruit	0412-01-01		N42AM4Q2	444-445		death	0444-01-01	0444-12-31	N42AM4Q2	444-445	Cyrillus Alexandrinus	JLMCGNS9	5200-5411#III, 1-55	entry#p	CPG	http://syriaca.org/johnofephesus/persons/430	https://en.wikipedia.org/wiki/Cyril_of_Alexandria
